Rossi F, Atalanta, goalkeeper, 1
Rovella, Genoa, midfielder, 3
Rrahmani, Napoli, defender, 8
Ruegg, Verona, defender, 7
Ruggeri, Atalanta, defender, 2
Saelemaekers, Milan, midfielder, 18
Sala, Spezia, defender, 4
Salcedo, Verona, forward, 10
Samir, Udinese, defender, 11
Sanchez, Inter, forward, 19
Sansone N, Bologna, forward, 11
Santander, Bologna, forward, 10
Santon, Roma, defender, 5
Saponara, Spezia, midfielder, 12
Sau, Benevento, forward, 18
Scamacca, Genoa, forward, 14
Schiappacasse, Sassuolo, forward, 4
Schiattarella, Benevento, midfielder, 11
Schouten, Bologna, midfielder, 9
Scuffet, Udinese, goalkeeper, 1
Segre, Torino, midfielder, 7
Sena, Spezia, midfielder, 4
Sensi, Inter, midfielder, 14
Sepe, Parma, goalkeeper, 12
Shomurodov, Genoa, forward, 17
Siligardi, Crotone, forward, 8
Silva A, Sampdoria, midfielder, 10
Silvestri, Verona, goalkeeper, 20
Simeone, Cagliari, forward, 23
Simonetti, Parma, midfielder, 1
Simy, Crotone, forward, 17
Singo, Torino, defender, 9
Sirigu, Torino, goalkeeper, 13
Skorupski, Bologna, goalkeeper, 11
Skov Olsen, Bologna, forward, 11
Skriniar, Inter, defender, 20
Smalling, Roma, defender, 18
Sohm, Parma, midfielder, 4
Soriano, Bologna, midfielder, 27
Sottil, Cagliari, midfielder, 14
Soumaoro, Bologna, defender, 7
Spinazzola, Roma, defender, 17
Sportiello, Atalanta, goalkeeper, 5
Sprocati, Parma, forward, 7
Strakosha, Lazio, goalkeeper, 17
Strootman, Genoa, midfielder, 12
Sturaro, Genoa, midfielder, 11
Sutalo, Atalanta, defender, 5
Svanberg, Bologna, midfielder, 11
Szczesny, Juventus, goalkeeper, 22
Tameze, Verona, midfielder, 13
Tatarusanu, Milan, goalkeeper, 1
Tello A, Benevento, midfielder, 5
Terracciano, Fiorentina, goalkeeper, 1
Terzi, Spezia, defender, 8
Thorsby, Sampdoria, midfielder, 13
Toljan, Sassuolo, defender, 7
Toloi, Atalanta, defender, 18
Tomiyasu, Bologna, defender, 15
Tonali, Milan, midfielder, 11
Tonelli, Sampdoria, defender, 5
Torregrossa, Sampdoria, forward, 13
Tramoni, Cagliari, midfielder, 1
Traore, Sassuolo, midfielder, 17
Tripaldelli, Cagliari, defender, 3
Tuia, Benevento, defender, 8
Turati, Sassuolo, goalkeeper, 1
Udogie, Verona, defender, 1
Udogie, Verona, defender, 1
Ujkani, Torino, goalkeeper, 1
Valenti, Parma, defender, 7
Vavro, Lazio, defender, 5
Vecino, Inter, midfielder, 11
Venuti, Fiorentina, defender, 6
Verde, Spezia, forward, 13
Verdi, Torino, midfielder, 16
Veretout, Roma, midfielder, 30
Vergani, Bologna, forward, 1
Verre, Sampdoria, midfielder, 16
Vicario, Cagliari, goalkeeper, 1
Vidal, Inter, midfielder, 21
Vignali, Spezia, defender, 4
Vignato, Bologna, forward, 13
Villar, Roma, midfielder, 8
Viola, Benevento, midfielder, 9
Vlahovic, Fiorentina, forward, 22
Vojvoda, Torino, defender, 6
Volta, Benevento, defender, 4
Vrioni, Juventus, forward, 1
Vulic, Crotone, midfielder, 9
Walace, Udinese, midfielder, 7
Walukiewicz, Cagliari, defender, 8
Wesley, Juventus, defender, 1
Yeboah Ankrah, Verona, forward, 1
Yoshida, Sampdoria, defender, 11
Young, Inter, defender, 16
Zaccagni, Verona, midfielder, 23
Zajc, Genoa, midfielder, 13
Zanellato, Crotone, midfielder, 7
Zaniolo, Roma, midfielder, 25
Zapata C, Genoa, defender, 7
Zapata D, Atalanta, forward, 38
Zappa, Cagliari, defender, 8
Zappacosta, Genoa, defender, 13
Zaza, Torino, forward, 12
Zeegelaar, Udinese, defender, 9
Zielinski, Napoli, midfielder, 24
Zima, Genoa, goalkeeper, 1
Zoet, Spezia, goalkeeper, 8
