Miguel Veloso, Verona, centrocampista, 18
Mihaila, Parma, attaccante, 5
Milenkovic, Fiorentina, difensore, 18
Milik, Napoli, attaccante, 23
Milinkovic-Savic, Lazio, centrocampista, 30
Milinkovic-Savic V, Torino, portiere, 2
Miranchuk, Atalanta, centrocampista, 21
Mirante, Roma, portiere, 8
Mkhitaryan, Roma, centrocampista, 39
Mojica, Atalanta, difensore, 6
Molina, Crotone, centrocampista, 11
Molina N, Udinese, difensore, 6
Moncini, Benevento, attaccante, 11
Montiel, Fiorentina, centrocampista, 1
Montipo', Benevento, portiere, 13
Mora, Spezia, centrocampista, 6
Morata, Juventus, attaccante, 28
Moro R, Lazio, attaccante, 1
Muldur, Sassuolo, difensore, 10
Muriel, Atalanta, attaccante, 39
Muriqi, Lazio, attaccante, 15
Murru, Torino, difensore, 5
Musacchio, Milan, difensore, 6
Musso, Udinese, portiere, 15
Mustacchio, Crotone, centrocampista, 6
Nainggolan, Cagliari, centrocampista, 21
Nandez, Cagliari, centrocampista, 16
Nestorovski, Udinese, attaccante, 13
Nkoulou, Torino, difensore, 14
Nuytinck, Udinese, difensore, 10
Nzola, Spezia, attaccante, 27
Obiang, Sassuolo, centrocampista, 8
Oddei, Sassuolo, attaccante, 1
Okaka, Udinese, attaccante, 18
Oliva, Cagliari, centrocampista, 6
Orsolini, Bologna, attaccante, 22
Osimhen, Napoli, attaccante, 28
Osorio Y, Parma, difensore, 8
Ospina, Napoli, portiere, 17
Ounas, Cagliari, attaccante, 14
Ouwejan, Udinese, difensore, 7
Padelli, Inter, portiere, 1
Pagliuca M, Bologna, attaccante, 1
Pajac, Cagliari, difensore, 3
Palacio, Bologna, attaccante, 16
Paleari, Genoa, portiere, 2
Palomino, Atalanta, difensore, 14
Palumbo, Udinese, centrocampista, 1
Pandev, Genoa, attaccante, 17
Pandur, Verona, portiere, 1
Parigini, Genoa, attaccante, 5
Parolo, Lazio, centrocampista, 11
Pasalic, Atalanta, centrocampista, 23
Pastina, Benevento, difensore, 1
Pastore, Roma, centrocampista, 9
Patric, Lazio, difensore, 7
Pau Lopez, Roma, portiere, 18
Pavoletti, Cagliari, attaccante, 17
Paz, Bologna, difensore, 8
Pedro R, Roma, attaccante, 22
