Data;Token;Prezzo_USD
2025-12-23;SOL;125.76
2025-12-24;SOL;124.03
2025-12-25;SOL;122.46
2025-12-26;SOL;120.02
2025-12-27;SOL;122.19
2025-12-28;SOL;124.67
2025-12-29;SOL;125.15
2025-12-30;SOL;123.12
2025-12-31;SOL;124.83
2026-01-01;SOL;124.48
2026-01-02;SOL;126.73
2026-01-03;SOL;132.05
2026-01-04;SOL;133.29
2026-01-05;SOL;133.86
2026-01-06;SOL;137.95
2025-11-01;BNB;1093.74
2025-11-02;BNB;1094.41
2025-11-03;BNB;1083.70
2025-11-04;BNB;992.20
2025-11-05;BNB;938.89
2025-11-06;BNB;959.97
2025-11-07;BNB;948.68
2025-11-08;BNB;990.59
2025-11-09;BNB;989.89
2025-11-10;BNB;996.31
2025-11-11;BNB;991.91
2025-11-12;BNB;957.15
2025-11-13;BNB;952.92
2025-11-14;BNB;924.54
2025-11-15;BNB;917.70
2025-11-16;BNB;931.97
2025-11-17;BNB;928.51
2025-11-18;BNB;906.72
2025-11-19;BNB;932.06
2025-11-20;BNB;896.31
2025-11-21;BNB;866.72
2025-11-22;BNB;831.16
2025-11-23;BNB;833.25
2025-11-24;BNB;843.03
2025-11-25;BNB;864.35
2025-11-26;BNB;861.92
2025-11-27;BNB;891.72
2025-11-28;BNB;895.60
2025-11-29;BNB;887.56
2025-11-30;BNB;873.22
2025-12-01;BNB;875.51
2025-12-02;BNB;827.49
2025-12-03;BNB;877.02
2025-12-04;BNB;921.09
2025-12-05;BNB;900.23
2025-12-06;BNB;883.67
2025-12-07;BNB;890.24
2025-12-08;BNB;892.87
2025-12-09;BNB;897.30
2025-12-10;BNB;897.38
2025-12-11;BNB;893.21
2025-12-12;BNB;885.63
2025-12-13;BNB;882.16
2025-12-14;BNB;897.00
2025-12-15;BNB;878.39
2025-12-16;BNB;858.44
2025-12-17;BNB;874.86
2025-12-18;BNB;842.77
2025-12-19;BNB;829.17
2025-12-20;BNB;855.96
2025-12-21;BNB;853.92
2025-12-22;BNB;858.42
2025-12-23;BNB;858.02
2025-12-24;BNB;844.42
2025-12-25;BNB;846.01
2025-12-26;BNB;829.38
2025-12-27;BNB;834.24
2025-12-28;BNB;844.98
2025-12-29;BNB;858.84
2025-12-30;BNB;851.49
2025-12-31;BNB;861.02
2026-01-01;BNB;862.92
2026-01-02;BNB;863.06
2026-01-03;BNB;880.60
2026-01-04;BNB;878.73
2026-01-05;BNB;894.45
2026-01-06;BNB;910.30
